TAZ,Poly,Area,Weight,GenEdge,PedEdge
-2215,-204585,243,0.0014307583608101743,-206329#2,-206329#2
-2215,-204911,336,0.001978332548280735,--205599#1,--205599#1
-2215,-207068,131,0.0007713141780499293,-203875,-203875
-2215,-205014,204,0.0012011304757418746,--205683#2,--205683#2
-2215,-205469,76,0.0004474799811587376,-203785#3,-203785#3
-2215,-206675,573,0.0033737635421573244,-204429,-204429
-2215,-206750,147,0.0008655204898728215,--203064#1,--203064#1
-2215,-205606,326,0.0019194536033914273,--206431,--206431
-2215,-205161,850,0.005004710315591144,--204125#3,--204125#3
-2215,-204587,13794,0.08121761658031088,-206727#1,--207175#0
-2215,-207211,920,0.0054168629298162975,--204180#3,-205948
-2215,-203041,235,0.0013836552048987283,-204247,-204247
-2215,-206891,174,0.001024493641073952,--206310#2,--206310#2
-2215,-205930,1527,0.008990814884597268,--203591#3,--203591#3
-2215,-205884,1056,0.0062176165803108805,--207090#0,--207090#0
-2215,-205523,957,0.005634715025906736,-204057#2,-204057#2
-2215,-207255,187,0.0011010362694300517,--204622#0,--204622#0
-2215,-206035,748,0.004404145077720207,-204429,-204429
-2215,-204407,319,0.001878238341968912,-204849#2,-204849#2
-2215,-206879,870,0.00512246820536976,--204180#3,-205948
-2215,-205147,469,0.002761422515308526,-207013#1,-207013#1
-2215,-204422,319,0.001878238341968912,-205668#0,-205668#0
-2215,-205921,794,0.004674988224211022,--206901#5,-207310
-2215,-206566,343,0.00201954780970325,-207311#2,-204366#8
-2215,-203978,586,0.0034503061705134243,--204776,--204776
-2215,-204152,206,0.0012129062647197363,--204776,--204776
-2215,-205969,1167,0.006871172868582195,-205531,-205531
-2215,-206474,1100,0.006476683937823834,--205531,--205531
-2215,-205166,988,0.005817239755063589,-204125#1,-204125#1
-2215,-206148,232,0.001365991521431936,--203064#1,--203064#1
-2215,-204265,211,0.00124234573716439,--203818#0,--205416#0
-2215,-207287,250,0.0014719736222326895,-204297#3,-204297#3
-2215,-205818,1644,0.009679698539802167,-207003#0,-207003#0
-2215,-205797,229,0.0013483278379651437,--203818#0,--203818#0
-2215,-206061,424,0.0024964672633066417,-206405,-206405
