TAZ,Poly,Area,Weight,GenEdge,PedEdge
-2176,-206603,52,0.00021841214371519057,-204292#0,-204292#0
-2176,-206874,147,0.0006174343293487118,--203778,--203778
-2176,-205633,398,0.0016716929461278048,-205716,-205716
-2176,-205953,7379,0.03099352323989214,-205486#2,-204648
-2176,-203129,129,0.000541830125754992,-206568#12,-206568#12
-2176,-203523,3881,0.01630110634151259,-203358#1,-203358#1
-2176,-206861,126,0.0005292294251560387,--206186#0,--206186#0
-2176,-203583,92,0.0003864214850345679,--203402#8,--203402#8
-2176,-202927,107,0.0004494249880293344,-206540#1,-206540#1
-2176,-206668,882,0.0037046059760922705,-204083,-204083
-2176,-203340,148,0.0006216345628816963,-206177#3,-206177#3
-2176,-206571,154,0.0006468359640796028,-205866#0,-205866#0
-2176,-205180,173,0.0007266404012063071,--203224#5,-205562
-2176,-204425,5557,0.0233406977427945,--205060#0,--205175#1
-2176,-206436,59,0.0002478137784460816,--204469#2,--204469#2
-2176,-206524,686,0.0028813602036273215,-205462,-205462
-2176,-206426,91,0.0003822212515015835,-206432#0,-206432#0
-2176,-205147,469,0.0019699095269696994,-207013#1,-207013#1
-2176,-203251,287,0.0012054670239665325,--205966#1,--205966#1
-2176,-205921,794,0.0033349854251896404,--206901#5,-207310
-2176,-204189,148,0.0006216345628816963,-204653#1,-204653#1
-2176,-204089,1398,0.005871926479112239,-205835#0,-205835#0
-2176,-204403,368,0.0015456859401382717,-205260,-205260
-2176,-206910,175,0.000735040868272276,-206175#4,-206175#4
-2176,-207231,78,0.00032761821557278587,-206908#0,-206908#0
-2176,-205347,64,0.00026881494611100376,-206568#11,-206568#11
-2176,-205178,972,0.00408262699406087,--206606,--206606
-2176,-204182,542,0.002276526574877563,--203192#0,--203192#0
-2176,-204306,629,0.002641946892247209,-204025,-204025
-2176,-206975,268,0.0011256625868398284,-205462,-205462
-2176,-206448,783,0.0032887828563268116,-207297#0,-207297#0
-2176,-205787,126,0.0005292294251560387,-206482#5,-206482#5
-2176,-205818,1644,0.006905183928226409,-207003#0,-207003#0
-2176,-206381,450,0.0018901050898429952,--205462,--205462
-2176,-205417,162,0.0006804378323434783,-203025#0,-203025#0
-2176,-204330,49,0.00020581144311623725,--204292#0,--204292#0
-2176,-202920,341,0.001432279634747692,-205583#3,-205583#3
-2176,-204943,687,0.002885560437160306,--205618,--205618
-2176,-205107,3136,0.013171932359439184,-205640,-205640
-2176,-202894,114,0.00047882662276022545,-204896#4,-204896#4
-2176,-203292,246,0.0010332574491141706,--205966#0,--205966#0
-2176,-204817,866,0.0036374022395645198,--207212,--207212
-2176,-205666,567,0.002381532413202174,-203476,-203476
-2176,-206820,87,0.00036542031736964574,--207270#1,--207270#1
-2176,-206013,190,0.0007980443712670424,--205407#0,--205407#0
-2176,-206920,3137,0.01317613259297217,--203398#0,--203398#0
-2176,-207321,1910,0.00802244604800027,--207331,--207331
-2176,-204665,639,0.0026839492275770533,--203958,--203958
-2176,-205143,1668,0.007005989533018036,-204246,-204246
-2176,-206091,46,0.00019321074251728396,-204896#0,-204896#0
-2176,-204941,626,0.0026293461916482557,--206982#8,--206725#3
-2176,-204237,857,0.00359960013776766,-203290,-203290
-2176,-205352,1987,0.00834586403004007,-206901#0,-204862
-2176,-205100,60,0.000252014011979066,-205701#1,-205701#1
-2176,-206991,172,0.0007224401676733227,-204041,-204041
-2176,-206460,25,0.00010500583832461085,-206865#0,-206865#0
-2176,-207170,751,0.0031543753832713097,-205378,-205378
-2176,-206506,1971,0.008278660293512319,-203518#20,-203355
-2176,-206743,203,0.0008526474071958401,-205583#4,-205583#4
-2176,-205049,128,0.0005376298922220075,-205474#1,-205474#1
-2176,-206579,200,0.0008400467065968868,--203258#0,--203258#0
-2176,-207280,240,0.001008056047916264,--206076#2,--206076#2
-2176,-203107,64,0.00026881494611100376,-203624#1,-203624#1
-2176,-206323,168,0.0007056392335413849,--207167#0,--207167#0
-2176,-205586,262,0.0011004611856419216,-206022#1,-206022#1
-2176,-206526,3432,0.014415201485202577,-203447#0,-203447#0
-2176,-204085,336,0.0014112784670827698,-205583#3,-205583#3
-2176,-203908,1021,0.004288438437177107,-203813#3,-203813#3
-2176,-203681,1347,0.005657714568930033,--205728#1,-204984
-2176,-203989,180,0.0007560420359371982,-205583#3,-205583#3
-2176,-204767,322,0.0013524751976209878,--207167#2,--207167#2
-2176,-203286,196,0.000823245772464949,--207036,--207036
-2176,-203990,1087,0.00456565385035408,--205728#2,--207118
-2176,-205578,9352,0.03928058400047043,--205728#0,--205158#1
-2176,-203689,105,0.0004410245209633656,-206027#4,-206027#4
