TAZ,Poly,Area,Weight,GenEdge,PedEdge
-2222,-205613,310,0.0015757557273637607,-203704#1,-203704#1
-2222,-203484,862,0.004381617538669554,-206210#8,-203106#0
-2222,-205221,1074,0.0054592311328667065,-205675#8,-205675#8
-2222,-205647,1062,0.005398234136968754,-204062#2,-205346#6
-2222,-206778,344,0.0017485805490746248,-204147#1,-204147#1
-2222,-206882,662,0.0033650009403703536,-203979#0,-205711
-2222,-204402,1392,0.007075651524162435,-204690#5,-204690#5
-2222,-207105,294,0.0014944263994998246,-206161#10,-206161#10
-2222,-206911,662,0.0033650009403703536,--206614#2,--206614#2
-2222,-205769,769,0.003908890820460425,-205997#6,--203706
-2222,-204001,205,0.0010420320132566805,-203704#1,-203704#1
-2222,-203165,289,0.0014690109845423445,-204350#1,-206131
-2222,-204583,344,0.0017485805490746248,-204147#1,-204147#1
-2222,-204375,344,0.0017485805490746248,-203683#0,-203683#0
-2222,-205677,288,0.0014639279015508486,-203683#0,-203683#0
-2222,-205201,1958,0.009952676497349173,-205997#6,-205821#1
-2222,-206610,411,0.002089147109504857,--203704#1,--203704#1
-2222,-203073,1152,0.005855711606203394,-205675#2,-205360#4
-2222,-205364,182,0.0009251211044522723,-204350#1,-206131
-2222,-206462,599,0.003044766711906105,-204062#5,-203363#4
-2222,-203242,2565,0.013038107873187245,--206304#0,-203528#0
-2222,-206245,3296,0.016753841539970823,-204122,-203378
-2222,-204752,343,0.0017434974660831288,-203048#1,-203048#1
-2222,-203401,3876,0.019702029675038504,-204062#2,-203106#2
-2222,-207246,2020,0.010267827642821924,--205643#5,--205643#5
-2222,-203998,13242,0.06731018497339006,-206210#5,-207033#4
-2222,-203549,1127,0.005728634531415994,--203756#7,--203756#7
-2222,-205114,170,0.0008641241085543203,-204350#1,-206131
-2222,-205507,473,0.002404298254977609,-205997#5,--204975
-2222,-204713,728,0.0037004844178090894,--206304#0,-203570#0
-2222,-205517,152,0.0007726286147073923,-203791#2,-203791#2
-2222,-205473,721,0.0036649028368686176,-204062#4,-206033#0
-2222,-206032,110,0.0005591391290645602,-206738,-206131
-2222,-205424,343,0.0017434974660831288,-203683#0,-203683#0
-2222,-204174,1438,0.007309473341771251,-206210#8,-206711#2
-2222,-204993,111,0.0005642222120560563,-203621#1,-204280
-2222,-203296,344,0.0017485805490746248,-204147#1,-204147#1
-2222,-207041,344,0.0017485805490746248,-203683#0,-203683#0
-2222,-204607,312,0.0015859218933467526,-202965,-202965
-2222,-205585,1399,0.007111233105102907,-204690#5,-204690#5
-2222,-207235,726,0.0036903182518260975,-204725#6,-206767
-2222,-205254,202,0.0010267827642821924,-204062#5,-203363#4
-2222,-204360,5062,0.025730566102952764,--203247,--203247
-2222,-202885,344,0.0017485805490746248,-203683#0,-203683#0
-2222,-206008,344,0.0017485805490746248,-204147#1,-204147#1
-2222,-207074,4918,0.02499860215217734,-205997#6,-204091#3
-2222,-204894,320,0.0016265865572787207,-202965,-202965
-2222,-203503,215,0.0010928628431716404,-204350#0,-203040
-2222,-207183,319,0.0016215034742872248,-204350#1,-206131
-2222,-204743,339,0.0017231651341171447,-202929#6,-203275#1
-2222,-206846,288,0.0014639279015508486,-204350#1,-206131
-2222,-205920,871,0.004427365285593018,-203247,-203247
-2222,-204865,1647,0.008371837686993915,-204690#5,-204690#5
-2222,-205343,701,0.0035632411770386975,-202929#5,--204245#1
-2222,-204457,344,0.0017485805490746248,-204147#1,-204147#1
-2222,-203670,176,0.0008946226065032963,-204350#1,-206131
-2222,-204018,214,0.0010877797601801444,-203683#0,-203683#0
-2222,-203373,2178,0.011070954755478292,-205997#6,--205084#0
-2222,-207301,1450,0.007370470337669203,-204062#4,-203363#3
-2222,-206497,344,0.0017485805490746248,-204147#1,-204147#1
-2222,-204134,217,0.0011030290091546325,-206210#0,-203654
-2222,-204572,924,0.004696768684142306,--203567#5,-203714#2
-2222,-205226,1316,0.0066893372168087386,-204062#0,-203363#0
-2222,-204459,241,0.0012250230009505365,-203035#1,-203035#1
-2222,-204642,344,0.0017485805490746248,-204147#1,-204147#1
-2222,-204791,344,0.0017485805490746248,-203683#0,-203683#0
-2222,-206751,343,0.0017434974660831288,-203683#0,-203683#0
-2222,-203481,229,0.0011640260050525845,--203704#0,--203704#0
-2222,-206156,36,0.00018299098769385607,-204171#4,-204878#0
-2222,-202989,207,0.0010521981792396724,-205997#5,--204975
-2222,-203166,19,9.657857683842404e-05,-203467#8,-203132
-2222,-204305,414,0.002104396358479345,-203704#0,-205477#1
-2222,-206690,336,0.0017079158851426568,--203683#0,--203683#0
-2222,-207254,889,0.004518860779439946,-205629#1,-204475
-2222,-205315,434,0.002206058018309265,-204690#2,-204690#2
-2222,-203134,581,0.0029532712180591774,-204690#2,-204690#2
-2222,-203696,5399,0.027443565071086917,--204725#2,--206424
-2222,-206160,206,0.0010471150962481765,-205013#4,--203706
-2222,-207022,490,0.002490710665833041,-203756#5,-206781#2
-2222,-206520,10,5.083082991496002e-05,-202929#0,-202964#4
-2222,-205811,358,0.0018197437109555687,-204350#1,-206131
-2222,-203618,358,0.0018197437109555687,-206161#10,-206161#10
-2222,-204374,21,0.00010674474282141605,-203467#3,-202964#2
-2222,-204886,309,0.0015706726443722647,-204147#1,-204147#1
-2222,-206339,754,0.0038326445755879858,-204006#0,-204006#0
-2222,-203572,1419,0.007212894764932827,--206304#0,-203570#0
-2222,-206349,287,0.0014588448185593526,-203704#1,-203704#1
