TAZ,Poly,Area,Weight,GenEdge,PedEdge
-2194,-204520,430,0.0020032237927082655,--203505#4,--203505#4
-2194,-205093,1031,0.004803078442516795,--206913#9,--206913#9
-2194,-205892,260,0.0012112515955910441,-206728#0,-206728#0
-2194,-205791,28,0.00013044247952518937,-202994#2,-202994#2
-2194,-204630,784,0.0036523894267053024,-205583#4,-205583#4
-2194,-204736,403,0.0018774399731661185,--203543#0,--203543#0
-2194,-203213,428,0.0019939064727421806,--204780#1,--204780#1
-2194,-202981,48,0.00022361567918603893,-207306#11,-207306#11
-2194,-203999,348,0.0016212136740987823,--203491#1,--203491#1
-2194,-203748,178,0.000829241476981561,-207057#0,-207057#0
-2194,-205654,101,0.00047052465828729023,-202987#3,-202987#3
-2194,-206684,328,0.0015280404744379328,--204783#2,--204783#2
-2194,-204971,889,0.004141548724924763,-205855#1,-205855#1
-2194,-203927,256,0.0011926169556588744,-202977#0,-205263
-2194,-206331,294,0.0013696460350144885,-206777#0,-206777#0
-2194,-203488,59,0.00027486093899950617,--204942#2,--204942#2
-2194,-206710,139,0.0006475537376429044,--203772#4,--203772#4
-2194,-204600,203,0.000945707976557623,-203057#0,-203057#0
-2194,-204675,317,0.0014767952146244655,-204108#2,--206821#1
-2194,-204351,7068,0.03292740876014423,--205336#2,--205336#2
-2194,-204109,317,0.0014767952146244655,-202883#0,-202883#0
-2194,-204513,811,0.003778173246247449,--203863#0,--203863#0
-2194,-203914,643,0.002995518369096313,-206670,-206670
-2194,-203187,704,0.0032796966280619045,--204661#0,--204661#0
-2194,-204466,94,0.0004379140384059929,--204942#3,-204912
-2194,-206659,284,0.0013230594351840636,--204942#2,--204942#2
-2194,-205697,110,0.0005124525981346726,--204661#5,--204661#5
-2194,-203029,640,0.0029815423891471856,-204347#1,--205163
-2194,-203644,149,0.0006941403374733292,--207119#2,-204142
-2194,-206445,60,0.00027951959898254867,--206679#1,--206679#1
-2194,-203829,89,0.0004146207384907805,-205139#0,-205139#0
-2194,-207069,20385,0.09496678375432091,-203504,-203504
-2194,-205565,90,0.000419279398473823,--203931#0,--203931#0
-2194,-203855,319,0.0014861125345905504,-204558,-204558
-2194,-204763,232,0.001080809116065855,--206007#3,--206007#3
-2194,-203005,534,0.002487724430944683,--206454#2,-206615
-2194,-207103,346,0.0016118963541326974,-203863#1,-203863#1
-2194,-204368,449,0.0020917383323860723,--202949#2,-206003
-2194,-206889,1603,0.007467831952817092,--206913#0,--206913#0
