TAZ,Poly,Area,Weight,GenEdge,PedEdge
-2178,-203153,230,0.0010435287605600574,-205409#3,-205409#3
-2178,-206038,317,0.0014382548569458183,--205725#8,--205725#8
-2178,-207081,296,0.0013429761440251172,-205807#3,-205807#3
-2178,-206891,174,0.0007894521927715217,--206310#2,--206310#2
-2178,-205523,957,0.004341987060243369,-204057#2,-204057#2
-2178,-206035,748,0.0033937370126040124,-204429,-204429
-2178,-206744,508,0.002304837436367431,-202946#2,--207186#1
-2178,-206788,294,0.0013339019808898125,--205807#3,--205807#3
-2178,-203561,272,0.001234086186401459,--206422#2,--206422#2
-2178,-206566,343,0.0015562189777047811,-207311#2,-204366#8
-2178,-206194,792,0.0035933686015807193,-202938#5,-206984
-2178,-203978,586,0.00265872979864432,--204776,--204776
-2178,-204152,206,0.0009346388029363992,--204776,--204776
-2178,-206491,228,0.0010344545974247524,--205409#3,--205409#3
-2178,-207246,2020,0.009164904766657895,--205643#5,--205643#5
-2178,-206474,1100,0.004990789724417665,--205531,--205531
-2178,-205832,320,0.0014518661016487753,--205725#8,--205725#8
-2178,-207215,624,0.002831138898215112,-203445#0,-202903
-2178,-206855,2157,0.009786484941426277,-203265#3,-206327#2
-2178,-205517,152,0.0006896363982831684,-203791#2,-203791#2
-2178,-204369,2567,0.01164668838416377,-203435#0,-203435#0
-2178,-202961,349,0.0015834414671106957,--204744,--204744
-2178,-204900,938,0.004255782510457973,--204125#1,--204125#1
-2178,-205252,2081,0.009441666742284693,-203435#0,-203953
-2178,-203067,437,0.001982704645064109,-206559#4,-206559#4
-2178,-203138,150,0.0006805622351478635,--206310#1,--206310#1
-2178,-204242,747,0.0033891999310363603,-202938#3,--204400
-2178,-204377,484,0.0021959474787437727,-202938#4,-204400
-2178,-207096,400,0.0018148326270609693,-202938#4,-204400
-2178,-204184,199,0.0009028792319628322,-203542#3,-203542#3
-2178,-206258,168,0.0007622297033656071,-203341,-203341
-2178,-203427,365,0.0016560347721931345,-207133,-207133
-2178,-204981,593,0.002690489369617887,-204132#4,-204366#4
-2178,-206513,578,0.0026224331461031005,-202938#3,--207186#1
-2178,-205224,325,0.0014745515094870376,-205807#3,-205807#3
-2178,-207197,901,0.004087910492454833,-204125#1,-204125#1
-2178,-203945,1150,0.005217643802800286,-203750#8,--203597
-2178,-207157,320,0.0014518661016487753,-205002#2,-206471
-2178,-205887,284,0.0012885311652132882,-205409#1,-205409#1
