segmentId,newSegmentId,speedLimit,frc,distance,lat,lon,timeSet,timeSetName,dateRange,averageSpeed,medianSpeed,harmonicAverageSpeed,standardDeviationSpeed,averageTravelTime,medianTravelTime,travelTimeRatio,sampleSize,travelTimeStandardDeviation,speedP5,speedP10,speedP15,speedP20,speedP25,speedP30,speedP35,speedP40,speedP45,speedP50,speedP55,speedP60,speedP65,speedP70,speedP75,speedP80,speedP85,speedP90,speedP95
-15040001877588,-00004d41-3200-0400-0000-0000004c531d,60,3,27.05,33.56267,-7.66829,4,16:00-21:00,1,22.3,21.0,14.1,11.5,6.9,4.64,1.05,3864,7.44,4,7,10,13,15,16,16,18,20,21,23,24,26,28,30,32,35,38,42
-15040001877588,-00004d41-3200-0400-0000-0000004c531d,60,3,27.05,33.56267,-7.66829,5,22:00-24:00,1,25.2,25.0,16.4,11.8,5.95,3.9,0.9,1494,6.64,5,8,13,16,16,18,20,22,23,25,27,29,30,31,33,35,37,40,44
-15040001877588,-00004d41-3200-0400-0000-0000004c531d,60,3,27.05,33.56267,-7.66829,6,0:00-4:00,1,32.5,33.0,21.1,13.8,4.62,2.95,0.7,1729,6.52,6,12,17,22,25,27,28,30,32,33,35,36,38,40,41,43,46,50,54
-15040002519005,-00004d41-3200-0400-0000-0000004c5321,60,3,43.76,33.57478,-7.67179,2,10:00-16:00,1,31.9,33.0,28.1,9.0,5.61,4.77,1.0,8043,4.08,16,19,22,25,27,28,30,31,32,33,34,35,36,37,38,39,40,42,45
-15040002519005,-00004d41-3200-0400-0000-0000004c5321,60,3,43.76,33.57478,-7.67179,3,5:00-9:00,1,39.5,40.0,35.5,10.6,4.43,3.94,0.79,1684,2.08,21,25,29,32,34,35,37,38,39,40,41,42,43,45,46,48,50,52,56
-15040002519005,-00004d41-3200-0400-0000-0000004c5321,60,3,43.76,33.57478,-7.67179,4,16:00-21:00,1,28.4,30.0,23.5,9.1,6.7,5.25,1.19,10101,5.31,12,16,18,20,22,24,26,27,28,30,31,32,33,34,35,36,37,39,41
-15040002519005,-00004d41-3200-0400-0000-0000004c5321,60,3,43.76,33.57478,-7.67179,5,22:00-24:00,1,29.4,30.0,25.4,8.8,6.21,5.25,1.11,3919,3.92,14,18,20,22,24,25,27,28,29,30,31,32,33,34,35,36,38,40,43
-15040002519005,-00004d41-3200-0400-0000-0000004c5321,60,3,43.76,33.57478,-7.67179,6,0:00-4:00,1,37.7,37.0,34.9,9.5,4.51,4.26,0.8,4566,1.76,23,26,28,30,32,33,34,35,36,37,38,39,41,42,43,45,47,49,53
-15040002604526,-00004d41-3200-0400-0000-0000004c5322,60,3,40.93,33.5751,-7.67201,2,10:00-16:00,1,32.7,34.0,27.1,9.3,5.43,4.33,1.0,8035,8.91,16,20,23,25,27,29,30,31,33,34,35,36,37,38,39,40,41,43,46
-15040002604526,-00004d41-3200-0400-0000-0000004c5322,60,3,40.93,33.5751,-7.67201,3,5:00-9:00,1,40.7,41.0,36.0,11.2,4.09,3.59,0.75,1686,3.23,21,25,29,32,34,36,37,39,40,41,42,44,45,46,48,50,51,54,58
-15040002604526,-00004d41-3200-0400-0000-0000004c5322,60,3,40.93,33.5751,-7.67201,4,16:00-21:00,1,29.7,31.0,24.1,9.1,6.11,4.75,1.13,10127,8.35,14,17,20,22,24,26,27,29,30,31,32,33,34,35,36,37,39,40,43
-15040002604526,-00004d41-3200-0400-0000-0000004c5322,60,3,40.93,33.5751,-7.67201,5,22:00-24:00,1,31.5,32.0,26.8,9.0,5.51,4.6,1.01,3918,5.88,16,20,22,24,26,28,29,30,31,32,33,34,35,36,37,39,40,42,45
-15040002604526,-00004d41-3200-0400-0000-0000004c5322,60,3,40.93,33.5751,-7.67201,6,0:00-4:00,1,39.5,39.0,35.8,9.9,4.12,3.78,0.76,4568,4.06,24,27,30,32,34,35,36,37,38,39,40,41,43,44,45,47,49,51,56
-15040001873381,-00004d41-3200-0400-0000-0000004c5323,60,3,41.37,33.57543,-7.67222,2,10:00-16:00,1,32.0,33.0,27.4,9.5,5.44,4.51,1.0,8034,5.81,16,19,22,24,26,28,29,30,31,33,34,35,36,37,38,40,41,43,47
-15040001873381,-00004d41-3200-0400-0000-0000004c5323,60,3,41.37,33.57543,-7.67222,3,5:00-9:00,1,41.0,41.0,36.8,11.5,4.04,3.63,0.74,1678,1.81,21,25,29,32,35,36,38,39,40,41,43,44,45,47,48,50,51,54,59
-15040001873381,-00004d41-3200-0400-0000-0000004c5323,60,3,41.37,33.57543,-7.67222,4,16:00-21:00,1,29.5,30.0,25.4,9.0,5.87,4.96,1.08,10144,4.38,14,17,19,21,23,25,26,28,29,30,31,32,33,35,36,37,38,40,43
-15040001873381,-00004d41-3200-0400-0000-0000004c5323,60,3,41.37,33.57543,-7.67222,5,22:00-24:00,1,32.1,33.0,28.4,9.1,5.24,4.51,0.96,3926,3.43,16,20,22,24,26,28,29,31,32,33,34,35,36,37,38,39,41,43,46
-15040001873381,-00004d41-3200-0400-0000-0000004c5323,60,3,41.37,33.57543,-7.67222,6,0:00-4:00,1,40.2,40.0,37.3,10.1,4.0,3.72,0.73,4560,1.4,24,27,30,32,34,35,37,38,39,40,41,42,43,45,46,48,50,53,57
-15040001884888,-00004d41-3200-0400-0000-0000004c5324,60,3,41.35,33.57575,-7.67245,2,10:00-16:00,1,31.9,33.0,27.6,9.4,5.39,4.51,1.0,8056,4.15,16,19,22,24,26,27,29,30,31,33,34,35,36,37,38,39,41,43,47
-15040001884888,-00004d41-3200-0400-0000-0000004c5324,60,3,41.35,33.57575,-7.67245,3,5:00-9:00,1,40.8,41.0,36.2,11.5,4.11,3.63,0.76,1680,2.3,21,25,29,32,34,36,37,39,40,41,43,44,45,46,48,49,51,54,59
-15040001884888,-00004d41-3200-0400-0000-0000004c5324,60,3,41.35,33.57575,-7.67245,4,16:00-21:00,1,29.6,30.0,25.8,9.0,5.77,4.96,1.07,10144,3.46,14,17,20,22,23,25,27,28,29,30,32,33,34,35,36,37,38,40,43
-15040001884888,-00004d41-3200-0400-0000-0000004c5324,60,3,41.35,33.57575,-7.67245,5,22:00-24:00,1,32.9,33.0,29.2,9.1,5.11,4.51,0.95,3930,3.2,17,20,23,26,28,29,30,32,32,33,34,35,36,37,39,40,41,43,47
-15040001884888,-00004d41-3200-0400-0000-0000004c5324,60,3,41.35,33.57575,-7.67245,6,0:00-4:00,1,40.3,40.0,37.3,10.3,3.99,3.72,0.74,4558,1.52,24,28,30,32,34,35,37,38,39,40,41,42,43,45,46,48,50,53,58
-15040001877598,-00004d41-3200-0400-0000-0000004c5325,60,3,38.69,33.57605,-7.67266,2,10:00-16:00,1,31.3,32.0,27.0,9.2,5.16,4.35,1.0,8078,4.29,16,19,22,24,26,27,28,30,31,32,33,34,35,36,37,38,40,42,46
-15040001877598,-00004d41-3200-0400-0000-0000004c5325,60,3,38.69,33.57605,-7.67266,3,5:00-9:00,1,39.7,40.0,35.4,11.4,3.93,3.48,0.76,1685,2.13,21,25,28,30,33,35,36,37,39,40,41,42,44,45,47,48,50,53,58
-15040001877598,-00004d41-3200-0400-0000-0000004c5325,60,3,38.69,33.57605,-7.67266,4,16:00-21:00,1,29.2,30.0,25.5,8.7,5.47,4.64,1.06,10167,3.58,14,18,20,22,23,25,26,28,29,30,31,32,33,34,35,36,38,40,43
-15040001877598,-00004d41-3200-0400-0000-0000004c5325,60,3,38.69,33.57605,-7.67266,5,22:00-24:00,1,32.7,33.0,28.7,9.1,4.86,4.22,0.94,3932,4.52,18,21,24,26,27,29,30,31,32,33,34,35,36,37,38,39,41,43,47
-15040001877598,-00004d41-3200-0400-0000-0000004c5325,60,3,38.69,33.57605,-7.67266,6,0:00-4:00,1,40.0,39.0,36.8,10.3,3.79,3.57,0.73,4562,2.13,24,27,30,32,34,35,36,37,38,39,41,42,43,44,46,48,50,52,57
-15040003211682,-00004d41-3200-0400-0000-0000004c5327,60,3,45.48,33.5764,-7.67293,2,10:00-16:00,1,29.1,29.0,24.4,9.3,6.72,5.65,1.0,8024,6.37,14,18,20,21,23,24,26,27,28,29,30,31,32,34,35,36,38,41,44
-15040003211682,-00004d41-3200-0400-0000-0000004c5327,60,3,45.48,33.5764,-7.67293,3,5:00-9:00,1,37.8,38.0,31.7,11.5,5.17,4.31,0.77,1680,6.37,19,24,26,28,30,32,34,35,37,38,39,41,42,43,45,47,49,52,57
-15040003211682,-00004d41-3200-0400-0000-0000004c5327,60,3,45.48,33.5764,-7.67293,4,16:00-21:00,1,26.5,26.0,22.1,9.2,7.43,6.3,1.11,10116,6.34,12,15,17,19,20,21,23,24,25,26,28,29,30,31,33,34,36,38,42
-15040003211682,-00004d41-3200-0400-0000-0000004c5327,60,3,45.48,33.5764,-7.67293,5,22:00-24:00,1,31.4,32.0,27.9,9.3,5.88,5.12,0.87,3927,3.54,17,20,22,24,25,27,28,29,30,32,32,34,35,36,37,39,40,43,47
-15040003211682,-00004d41-3200-0400-0000-0000004c5327,60,3,45.48,33.5764,-7.67293,6,0:00-4:00,1,39.2,39.0,35.8,10.3,4.58,4.2,0.68,4552,2.45,23,27,29,31,32,34,35,37,38,39,40,41,42,44,45,47,49,52,56
-15040002602801,-00004d41-3200-0400-0000-0000004c5328,60,3,55.48,33.57682,-7.67325,2,10:00-16:00,1,26.7,27.0,21.5,8.9,9.31,7.4,1.0,8108,10.6,13,16,18,20,21,22,23,24,26,27,28,29,30,31,32,34,35,37,41
